Model,DPO4034
Firmware Version,2.58

Waveform Type,Analog,Analog,Analog,Analog
Point Format,ENV,,,
Horizontal Units,s,,,
Horizontal Scale,100,,,
Horizontal Delay,0,0,0,0
Sample Interval,0.01,,,
Record Length,100000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,2,2,2,2
Vertical Position,0,2.04,-2.02,-4.02
Label,,,,
TIME,CH1,CH2,CH3,CH4
-4.95940e+02,-0.16,-0.8,-0.44,1.16
-4.95930e+02,0,-0.24,-1.24,0.6
-4.95920e+02,-0.08,0,-0.44,0.76
-4.95910e+02,1.2,0,-0.52,-0.12
-4.95900e+02,0,-0.4,0.36,0.28
-4.95890e+02,-0.08,0.32,0.76,0.6
-4.95880e+02,0,0.24,0.6,0.52
-4.95870e+02,0.56,-1.04,0.44,1.08
-4.95860e+02,0.48,-0.4,0.12,1.16
-4.95850e+02,0.48,-0.96,-0.44,1.16
-4.95840e+02,-0.16,0.08,-0.04,1.16
-4.95830e+02,0.8,-0.24,-0.28,0.44
-4.95820e+02,0.16,0.56,-0.12,0.76
-4.95810e+02,0.48,0.24,0.2,0.12
-4.95800e+02,0.32,-0.32,-0.44,0.28
-4.95790e+02,0.32,0.56,-0.6,0.36
-4.95780e+02,0.4,-0.8,-0.6,0.92
-4.95770e+02,1.04,-0.56,-0.92,0.52
-4.95760e+02,0.8,-0.16,-0.68,0.6
-4.95750e+02,-0.24,0.32,0.6,0.76
-4.95740e+02,0.08,0.24,-0.28,0.92
-4.95730e+02,0.64,0.08,-0.12,0.76
-4.95720e+02,0.24,0.24,0.52,0.04
-4.95710e+02,-0.08,0.4,0.12,0.44
-4.95700e+02,-0.24,0.48,0.28,0.2
-4.95690e+02,-0.4,-0.8,1,0.92
-4.95680e+02,-0.96,-0.4,0.76,1
-4.95670e+02,-0.96,0.56,1.32,1.08
-4.95660e+02,0.24,0.64,1,0.6
-4.95650e+02,-0.24,0.48,0.68,1
-4.95640e+02,-1.28,0.64,0.28,0.68
-4.95630e+02,-0.8,1.84,-0.12,0.2
-4.95620e+02,0.16,-0.08,0.28,0.2
-4.95610e+02,0,-0.32,0.04,0.36
-4.95600e+02,0,-0.24,0.52,0.68
-4.95590e+02,0.88,0.4,1.16,0.76
-4.95580e+02,0.16,-0.56,-0.04,0.68
-4.95570e+02,-0.08,-0.64,-0.52,0.52
-4.95560e+02,0.4,0.32,-0.12,0.52
-4.95550e+02,-0.48,-0.32,0.12,0.52
-4.95540e+02,0.4,-0.48,0.12,0.2
-4.95530e+02,-0.08,-0.88,0.36,0.68
-4.95520e+02,-0.64,-0.24,0.04,0.68
-4.95510e+02,0.56,0.24,-0.04,0.2
-4.95500e+02,-0.08,-0.32,0.36,0.6
-4.95490e+02,-0.16,0.08,0.04,0.68
-4.95480e+02,-0.24,0,-0.04,0.6
-4.95470e+02,-0.08,-0.48,0.36,0.44
-4.95460e+02,-0.88,-0.64,0.12,0.28
-4.95450e+02,-0.32,-0.96,0.6,0.28
